topic,category
licensing of radio receiving sets,Transportation and Communications
regulation of Northwest Territories fur trapping,Natural Resources and Intergovernmental Relations
New Westminster harbour boundary and commissioner remuneration,Transportation and Communications
regulation of radio receiving set penalties,Transportation and Communications
transfer of water rights to prairie provinces,Natural Resources and Intergovernmental Relations
regulation of radio broadcasting and free speech,Transportation and Communications
revision of the Radiotelegraph Act and licensing,Transportation and Communications
licensing and inspection of radio apparatus,Transportation and Communications
revision of the radiotelegraph act,Transportation and Communications
radio patent monopolies and import pricing,International Trade and Tariffs
regulation of radio broadcasting powers,Transportation and Communications
regulation of international political radio broadcasting,Transportation and Communications
regulation of CBC radio broadcasts,Transportation and Communications
Radio Patents Limited radio confiscation policies,Transportation and Communications
New Westminster harbour commissioners remuneration,Transportation and Communications
New Westminster Harbour boundary adjustments,Transportation and Communications
regulation of radio broadcasting licensing powers,Transportation and Communications
transfer of natural resources agreements amendment,Natural Resources and Intergovernmental Relations
harbour fire protection in Vancouver,Transportation and Communications
grain storage tariffs at Quebec port,Transportation and Communications
refinancing of National Harbours Board bond debt,Public Finance and Taxation
free grain storage in Montreal and Quebec ports,Transportation and Communications
veterans' hospital population and benefits,Veterans' and Military Affairs
grain transportation and elevation rates,Transportation and Communications
criticism of the minister of transport,Government and Parliamentary Affairs
funding for the Canadian travel bureau,Transportation and Communications
National Harbours Board grain handling tariffs,Transportation and Communications
grain elevator unloading tariffs,Transportation and Communications
port of Alberni financial administration,Transportation and Communications
establishment of national port advisory boards,Transportation and Communications
maintenance of highways and bridges on canal property,Transportation and Communications
development of canadian shipping harbours,Transportation and Communications
Montreal harbour infrastructure and supply procurement,Transportation and Communications
grain shipping rates and tariffs,Transportation and Communications
deepening of the St. Lawrence waterway system,Transportation and Communications
grain shipping rate parity,Transportation and Communications
National Harbours Board toll collection authority,Transportation and Communications
funeral expenses for veteran relief fund,Veterans' and Military Affairs
stabilization of national harbours board port charges,Transportation and Communications
dairy industry research and butter storage improvement,Agriculture and Food Policy
grain shipping rates at the port of Montreal,Transportation and Communications
port of Montreal grain shipping regulations,Transportation and Communications
freight movement at the port of Montreal,Transportation and Communications
burial and pension benefits for veterans,Veterans' and Military Affairs
veteran hospital treatment and allowances,Veterans' and Military Affairs
municipal administration of relief allowances,Social Welfare and Labour
government grants to provincial workmen's compensation boards,Social Welfare and Labour
relief for single unemployed transients,Social Welfare and Labour
